name,cor,p.value
SDHB,0.109112798189743,0.406602848962851
JAK1,-0.203831892038583,0.118261754362347
ATP1A1,-0.041927538291428,0.750426247185893
HSD3B1,0.0264230327524531,0.841166672616187
BGLAP,0.218191227330434,0.0939745322929996
SDHC,0.060991358299125,0.643414381341511
ESRRG,0.227848049882726,0.0799652712226598
CYP1B1,-0.105110808182845,0.424130827198739
IL1B,0.0969250023126287,0.461291629626987
PPARG,-0.396094296020941,0.00173145396767204
PROS1,-0.137141240545394,0.296072893464095
NR1I2,0.031131899630283,0.813330947787118
PIK3CA,-0.125760949306868,0.338336893740921
ABCC5,0.0712154046376948,0.58870380447243
ADH1C,-0.136588517819764,0.298042336396874
NFKB1,-0.0760093760151513,0.56379297557416
NR3C2,-0.268956585281137,0.0377128462900999
CASP3,0.0517905225422864,0.694324932448049
SDHA,-0.0535853925038382,0.68427858110103
PRLR,-0.159685012246688,0.222945331032649
PIK3R1,0.0433657582064202,0.74215693901648
HMGCR,-0.103327076932097,0.432079748118149
PPP2CA,-0.0337101258065858,0.798184589677858
NR3C1,0.164628913663825,0.208760232921996
NQO2,0.0822727508065002,0.532012431801227
TNF,0.150925015832769,0.249701064273975
CSNK2B,0.0700532985324853,0.594816110364913
PIM1,-0.063719715715595,0.628612950715334
ESR1,-0.100784831784552,0.443552788743749
GPER1,-0.110065485582805,0.402493184487078
ACTB,0.150064328539394,0.252442940859799
AHR,-0.282618950013948,0.0286752528542473
HOXA10,-0.114055791985974,0.385545394082579
CDK6,0.139274843211098,0.288550251161763
PIK3CG,0.345160337174747,0.0069150016768962
SMO,0.29662936629058,0.0213684679454526
LPL,0.225560330084324,0.08312456453571
PTK2B,0.044977955802159,0.732921693943455
ASPH,-0.197105119708663,0.131169989035561
NCOA2,-0.0504166686844858,0.702050352791433
CA1,-0.142146189167834,0.278626248602458
CA2,0.0135519128689552,0.918146202122298
CA9,-0.159192232934377,0.224395158085811
ANXA1,-0.00511789471909026,0.969042393276896
SYK,-0.241328105846159,0.0632321908796362
ALAD,-0.0240470289359451,0.855288067741059
PTGS1,0.139992750879163,0.286047524810839
LCN2,-0.360998205611535,0.00460134593824416
AKR1C1,-0.127760760552657,0.330649321469702
AKR1C2,-0.153358680952862,0.24205811516278
ALOX5,-0.0756254426083341,0.565769653096316
NFKB2,0.0212139911639721,0.872184589090569
HBB,-0.172793164714066,0.186751478648181
F2,0.0841543759283322,0.522640770797361
ESRRA,0.0542989534017788,0.680299545279509
GSTP1,0.167257929807088,0.20148205055236
PGR,-0.140987827509991,0.282602237574005
SDHD,-0.143087258499029,0.275423518918674
SLCO1B3,-0.326358350968144,0.0109315168454629
VDR,-0.21996099837733,0.0912729896284024
NR1H4,-0.0649782280743131,0.621833713006081
NFKBIA,-0.00594120639063397,0.964065320836218
ESR2,-0.115102252012847,0.3811721538181
HSP90AA1,0.00974745624714733,0.941076506819654
AKT1,0.240143656805535,0.0645790562660592
CYP19A1,-0.111650850083059,0.395708325254352
RORA,0.123262782789893,0.348095846204728
CA12,-0.180628418288157,0.167248396583348
COX5A,-0.000177330740304912,0.998927083086282
PLK1,0.268410624370164,0.0381181556477739
PRKCB,0.269869209364793,0.0370433094665966
ITGAL,0.332032501100248,0.00954775156521259
CES1,0.0729774846403935,0.579490127298942
NQO1,-0.261238659338403,0.0437856073959048
HSD17B2,-0.327121585713185,0.010735828027724
YWHAE,0.0595331840450409,0.651382376602611
SHBG,-0.01792516682093,0.891870442656847
TOP2A,0.025078571556705,0.849151444566737
HSD17B1,-0.015297125505394,0.907648431419971
BECN1,0.0131456958716515,0.920591732622955
PRKCA,-0.0363431591389453,0.782792278510574
DNMT1,0.140471807713535,0.284385435576002
PRKACA,0.196156645981075,0.133072460364991
CSNK2A1,-0.0193148370127008,0.883543697548796
CEBPB,-0.0776739742052083,0.555260501798509
CBR1,0.0132444856933994,0.919996924385752
ITGB2,0.437840193770638,0.000467783182556647
COMT,-0.00560337797492861,0.966107402354341
MIF,0.103484971437193,0.431372744102474
SEC14L2,0.0552194960154348,0.675179106128113
PPARA,-0.131358798102428,0.317097564366897
AR,0.174883349147889,0.181395689929549
